ID;Title;Chunk;Description;Source
27;Housing Employment Credit Hec Ad Policy;"This policy is designed to protect our users and will be enforced to help prevent the use of our platform in a discriminatory manner.
Age
Gender
Zip code
Marital or parental status
Any options describing or appearing to relate to protected characteristics (this may include key words that have a high correlation to protected categories)
This HEC Ad Policy is in addition to existingAnti-Discrimination Ad Policythat prohibits unlawful discrimination, including without limitation, through the use of Custom Audiences or the use of other tools and audiences available on our platform.
Here are some examples of what may constitute an HEC ad:
Housing:Any ad that promotes a housing product, service, or opportunity, including but not limited to rental or sale listings, realtor services, homeowners insurance, mortgage insurance, mortgage loans, or property appraisal services. This excludes ads aimed at educating the public about their legal rights under fair housing laws in their region.
Employment:Any ad that promotes an employment opportunity, including but not limited to part or full-time jobs, freelance or “gig job” listings, recruiting opportunities, internships, accredited certification programs, job fairs, or employment-seeking services.
Credit:Any ad that promotes a credit opportunity, including but not limited to credit card offers, personal loans, educational loans, business loans, mortgage loans, auto loans, and any other loans.";HEC Ad Policy for non-discrimination enforcement.;TikTok Ad Policies
28;Tiktok Ads Policy Healthcare Pharmaceuticals;"At TikTok, we want all healthcare and pharmaceutical products and services advertised on TikTok to be in compliance with local laws in each market. Our policies aim to foster an ad platform that equips our users with appropriate information.
Policy
Healthcare is a highly regulated area in most markets and we are dedicated to following advertising regulations for healthcare and pharmaceuticals. Some healthcare-related content cannot be advertised at all, while others can be advertised with restrictions in place.
Over-the-counter (OTC) medicines, medical institutions, and pharmacies may be allowed if the applicableMarket-specific requirementsare met.
Medical devices, tools, and equipment used for diagnosing, treating, or monitoring medical conditions may be allowed if the applicableMarket-specific requirementsare met.
Products derived from hemp oil and topical CBD products for cosmetics may be allowed in some markets and are subject to additional restrictions. If allowed, ad content and landing pages must comply with the local laws of the target country.
Hemp products are not supported via self-serve, you must work with a TikTok Sales Representative";TikTok's healthcare ad compliance policies;TikTok Ad Policies
29;Tiktok Ads Policy Adult Content;"At TikTok, we are committed to maintaining a safe and positive environment for all users. We aim to make our ad content comfortable for everyone. Therefore, it is each advertiser's responsibility to follow all advertising regulations, laws, and standards for adult sexual products, services, dating services, and entertainment.
Policy
As an advertiser, it is your responsibility to follow all advertising regulations, laws, and standards for adult sexual products, services, dating services, and entertainment. In addition to following all industry rules, we have put additional policies in place for the safety of our users.
We do not allow sexual services, sexual products, sexual activity, sexually explicit content, text, and audio, sexually suggestive content, nudity and body exposure, and dating and live chat.
Sexual services are not allowed.
Examples of what is not allowed:
Adult entertainment, such as host or hostess clubs, strip clubs, escort services, prostitution, or erotic massages
Sexual chats, imagery, and pornography
Member exclusive content and streaming of adult content through a webcam, such as stripping, nude modeling, and masturbation (sexcamming)
Sexual products are not allowed.
Pornographic material, sex toys, and supplies such as fetish or sexual fantasy costumes
Promotion, sale, solicitation, or facilitation of access to the enhancement of sexual performance, pleasure, or bodily appearance, such as drugs, medications, tools, or devices such as penis enlargement or breast enhancement products or services
Sexual activity is not allowed.
Penetrative sex, non-penetrative sex, and oral sex
Fetish and kink activity
Sexually explicit content, text, and audio are not allowed.
Grinding
Humping
Rubbing, squeezing, pinching, spanking, or slapping of clothed sensitive regions or sensitive body parts
Imitating sexual positions outside of sexual activity taking place
Mimicking sexual acts
Sexually explicit text, audio or term that directly describes or references specific sexual activity, body parts, or sexual products
Sexually suggestive content is not allowed.
Overtly sexual kissing
Sexually suggestive text or audio
Sexualized body positions
Emphasis on sensitive body parts or sensitive regions
Flirtatious movements
Wearing underwear, stripping, or undressing
Swimsuits, lingerie, or clothing that exposes or implies exposure of intimate areas
Nudity and body exposure is not allowed.
Displaying nudity
Displaying excessive visible skin
Dating apps or services that convey, imply, portray, or encourage transactional relationships, infidelity, or sexual encounters is not allowed.
Kissing in any form
Infidelity
International brides or mail-order brides
Sexual encounters
Exchange in terms of income or compensation including goods or services
Dating focused on large age gaps, sugaring or sugar dating, or engaging in companionship, relationships, or dating in exchange for compensation or material benefit
Other transactional companionship
Aggregated landing pages featuring ads or promotions for other dating sites
Content that is sexually suggestive in nature, such as focusing on bodies, sexual language, or innuendo";TikTok ad policy prohibits adult content.;TikTok Ad Policies
30;Tiktok Ads Policy Youth Safety;"We are deeply committed to TikTok being a safe and positive experience for people under the age of 18*. We refer to them as ""teens"". Users must be at least 13 years of age to have an account. However, additional age limitations may apply based on local laws in some markets.
Ads and landing pages must be safe and respectful for teens, and as an advertiser, you must comply with all applicable child safety laws, rules, and regulations that apply to the targeted markets. You must also comply with ourAd Policiesand targeting requirements, such asProtecting minors on TikTok: advertising initiativesandAbout advertising to people under the age of 18. These policies govern the protection of teens from illegal and harmful content, including content which may put them at risk of sexual, physical, or psychological harm.
You must also comply with ourCommunity Guidelines, which apply to everyone and to all content on the platform. The guidelines include rules for what is allowed on TikTok, as well as standards for what is eligible for the For You Feed (FYF).
We are committed to providing a safer experience for teens and keeping up with changing times and regulations. Therefore, ourAd PoliciesandCommunity Guidelinesare updated on an ongoing basis.
Policy
Ads and landing pages (LPs) must not feature minors, defined as people under the age of 18, in content that may put them at risk of sexual, physical, or emotional harm.
Minor sexual abuse material, with either real or non-real minors, such as animated content or artificial intelligence-generated content (AIGC), is not allowed.
We will report incidents of minor sexual abuse and exploitation to the National Center for Missing and Exploited Children (NCMEC).
Do not feature content showing physical abuse of minors.
Examples of what is not allowed:
Hitting, slapping, punching, or kicking
Shaking
Throwing
Scalding or burning
Breaking bones
Do not feature content showingemotional abuse of minors. Such content involves harmful behaviour that can cause mental distress, and can involve both verbal and non-verbal abuse, which can scare, humiliate, and isolate a person.
Threatening behavior
Humiliation or ridiculing
Provoking fear of violence
Controlling
Intimidation
Coercion
Bullying
Fictional content, such as trailers for movies or TV shows, that references minor abuse stories may be allowed, but must be executed with a duty of care by advertisers.
Examples of what may be allowed:
Content that is not gratuitous, distressful, or offensive to victims of child abuse and their family
AIGC depictions of minors
Inappropriate skin exposure of both real and non-real minors, such as animated content or artificial intelligence-generated content (AIGC), that might subject them to sexual harm or objectify them is not allowed. However, depending on the context, some skin exposure may be allowed.
Examples of what might be allowed:
Minors in swimsuits if the ad is for swimwear, swimming lessons, or water theme parks
Traditional and historical artwork*
Product demonstration for products such as nappies
Fully or partially exposed sensitive body parts of minors
Only covering a minor's sensitive body part while other body parts are exposed, such as only wearing underwear
Accentuation of sensitive body parts
Do not feature content that shows minors engaging in illegal activities.
Drinking alcohol
Gambling
Smoking tobacco or e-cigarettes
Do not feature content that shows minors engaging in activities that are dangerous, inappropriate, or unethical for their age.
Trailers for video games, movies, and TV shows*
Government or NGO awareness campaigns, assessed on a case by case basis*
*Age targeting requirements may apply
Skipping school
Plagiarising homework
Do not exploit teens' credulity, loyalty, vulnerability, or lack of experience.
Urging or pressuring teens to make a purchase
Encouraging teens to persuade parents or guardians to purchase a product for them
Implying teens will gain popularity by owning the promoted product
Ads promoting products that may appeal to young children under the age of 13, including those with broad appeal, might be allowed if the following requirements are met*:
The ad must be restricted to audiences 18 years of age and older
Do not use particularly childish creative approaches";TikTok's advertising and safety policies for teens.;TikTok Ad Policies
31;Tiktok Ads Policy Weight Management;"At TikTok, we aim to be a body-positive and inclusive environment. We want to create an environment where our community feels comfortable and confident. As an advertiser, you must follow these policies in your ad content and landing pages.
Policy
Ad content and landing pages for dieting and weight management products must prioritize responsible claims and cannot promote such products as being the sole solution for weight loss or weight gain. Any weight loss claims must target users aged 18 years or older, and must do so via the promotion of a healthy lifestyle.
The following is allowed:
Gyms or fitness apps
In some cases, the following may be allowed when targeted at users aged 18 years or older:
Sports supplements, such as protein powders
Examples of what is not allowed:
References to unrealistic weight gain or weight loss
Encouragement of unhealthy lifestyles or promotion of unhealthy relationships with food
Claims that the product alone, without diet or exercise, can lead to weight loss or weight gain
Performance exaggerations or suggestions that losing or gaining weight is easy or guaranteed
Examples of what is not allowed in select countries*:
Weight loss surgeries
Weight loss injections
Fat-burning pills
Cellulite creams

Ad content and landing pages must not explicitly shame users about their bodies or suggest there is an ideal body type.
The following are examples of what is not allowed:
The promotion or reinforcement of negative or unhealthy body images
Messages that are insulting, offensive, or distasteful that may make users feel negatively about their appearance
Suggesting users need to look a certain way, or that there is a ""right"" or ""perfect"" way to look
Claims that looking a certain way will make individuals more desirable, successful, happy, or popular
The promotion of an unhealthy relationship with food or exercise";Body-positive advertising policy guidelines.;TikTok Ad Policies
32;Introduction;Welcome to TikTok. These Terms of Service (“Terms”) contain the agreement between you and TikTok in respect of the Platform described below. Please read these Terms carefully. Please also read our Privacy Policy, Cookies Policy and Community Guidelines. You form a contract with us when you confirm that you accept these Terms or when you otherwise use the Platform.;Welcome and agreement.;Terms of Service
33;Contracting Parties;1. Who you are contracting with: The company that you are contracting with depends on where you are resident or have your principal place of business: EEA or Switzerland: TikTok Technology Limited, Ireland. UK: TikTok Information Technologies UK Limited, England.;Contracting entities.;Terms of Service
34;Services Covered;2. What services are covered by these Terms: These Terms govern your use of TikTok services, including apps, websites, software and related services. Community Guidelines are part of the contract and Commercial Terms of Service apply to business accounts.;Services included.;Terms of Service
35;Additional Terms;3. Additional terms and policies: Additional terms may apply to certain features. Examples: Coins Policy, Rewards Policy, Music Terms, Intellectual Property Policy, Business Terms. These form part of these Terms.;Extra policies.;Terms of Service
36;Using the Platform;4. Using the Platform: The Platform is provided worldwide. It is mostly free to use, except for some features like virtual coins. It is supported by ads. Users can have accounts to access full features and are responsible for account security.;Platform use.;Terms of Service
37;Account Functionality;4.2 Account details: Some features are available without an account. Full functionality requires an account. Account details sync across the Platform. Ensure information is accurate and secure;Account essentials.;Terms of Service
38;Minimum Age;4.3 Minimum age: You must be 13 or older to use the Platform. Accounts for users found to be underage will be terminated. Appeals available for mistaken termination.;Age requirement.;Terms of Service
39;User Permissions;4.4 What you can do on the Platform: Create, share, interact, and view content. Permissions are personal, cannot be shared, and are age-restricted for certain features.;User activities.;Terms of Service
40;Prohibited Actions;4.5 What you can’t do: Illegal activities, violations, unauthorized access, data extraction, and harmful content are prohibited. Community Guidelines must be followed.;Restricted actions.;Terms of Service
41;Content Responsibility;4.6 Your content: Users are responsible for their content. Content may be shared across apps. TikTok may remove harmful content. Users can appeal content restrictions.;User content duties.;Terms of Service
42;Branded Content;4.7 Posting Branded Content: Follow the Branded Content Policy when promoting a brand for payment or incentive. Ensure disclosures are clear using Platform functionality.;Brand promotion rules.;Terms of Service
43;Intellectual Property;4.8 Respecting rights: Respect copyright and other intellectual property rights. Report infringements through provided links.;IP compliance.;Terms of Service
44;Content Ownership;4.9 Ownership and licences: Users retain ownership of content but grant TikTok a licence to use it. Licences end when content is removed, with some exceptions.;Content rights.;Terms of Service
45;TikTok Promises;5. What we promise: TikTok promises skill and care in providing the Platform. It disclaims control over user-generated content. TikTok is not liable for issues beyond control.;Company obligations.;Terms of Service
46;Termination Rights;6. Suspending or ending relationship: Users can end relationship by closing accounts. Breaches may lead to suspension. Appeals possible.;Account closure.;Terms of Service
47;Platform Changes;7. Changes to Terms: TikTok may change Terms with notice. Critical changes may be immediate. Disagreement means stopping use.;Term modifications.;Terms of Service
48;Dispute Resolution;8. Resolving disputes: Governed by user’s local law. Disputes resolved amicably or in local courts. Alternative dispute resolution available in the EEA.;Handling disputes.;Terms of Service
49;Miscellaneous;9. Other: Terms can’t be transferred by users. TikTok may reclaim inactive account names. Delay in enforcement doesn’t waive rights.;General provisions.;Terms of Service
50;Contact Information;10. Contacting TikTok: Contact TikTok via provided link. Some countries require additional regulatory information.;Contact details.;Terms of Service
51;Introduction to Branded Content;Branded content (“Branded Content”) is content that promotes a third-party brand or its products or services in exchange for payment or any other incentive. Branded Content includes content which features or references: A product or service that has been gifted to you by (or on behalf of) a brand, A brand, product or service that you have been paid to post about (whether in the form of money or a gift), A product or service for which you will receive a commission on any sales (for instance, via an affiliate link or promotional code), or A brand that you have or have had a commercial relationship with, such as acting as a brand ambassador.;Definition of branded content.;Brand Guidelines
52;Posting Rules;You are responsible for ensuring that any Branded Content that you post complies with all applicable laws and regulations. While the rules in this Branded Content Policy are intended to help you to comply with relevant laws and regulations, they are not exhaustive and you should be aware of any other applicable legal requirements. As well as following these rules when you post Branded Content, you must also comply with TikTok’s Terms of Service and Community Guidelines. To the extent that your Branded Content does not comply with any of these rules, we may remove the content or impose other restrictions. We may update these rules periodically (for instance, if we need to reflect any changes to applicable laws or regulations) and in some instances we may need to apply them to content you have already posted (for example, if a new law requires us to no longer display certain types of content).;Requirements for posting branded content.;Brand Guidelines
53;Disclosure Requirements;When posting Branded Content, you must enable the commercial content disclosure toggle. This is accessible through the content disclosure settings when posting your video. See here for information on how to enable the toggle. When you enable the toggle, and indicate that the content is posted on behalf of a third party, your content will be automatically labelled to indicate that it is Branded Content. In addition, where required by law, your content may be added to the TikTok Commercial Content Library (please note that, in some circumstances, TikTok may be required to ensure that Branded Content remains publicly available in the library even if the original content is deleted or altered).;Toggle and disclosure requirements.;Brand Guidelines
54;Content Guidelines;You must ensure that the product or service you are promoting is sufficiently clear, without requiring other users to access your profile page or any links. For instance, you should explicitly identify the product or service verbally and/or in the text caption. You must not make false, deceptive, or misleading claims about the products or services. You must not post content promoting illegal products or services. You must not promote products or services relating to any of the Prohibited Industries listed below. You should also be aware that, if you promote products or services subject to any of the Country-Specific Requirements listed here, or which are otherwise subject to additional legal requirements or restrictions in specific countries or regions, we may prevent the content from being accessed in the relevant countries, or apply other restrictions (such as specific age limits). In addition, you must not: use surreptitious or subliminal techniques, prejudice respect for human dignity, include or promote any discrimination based on sex, racial or ethnic origin, nationality, religion or belief, disability, age or sexual orientation, encourage behaviour prejudicial to health or safety or which is grossly prejudicial to the protection of the environment, cause physical, mental or moral detriment to minors, directly exhort minors to buy or hire a product or service or directly encourage minors to persuade their parents or others to purchase goods or services being advertised, or exploit the special trust minors place in parents, teachers or other persons, or show minors in dangerous situations.;Guidelines on content clarity and restrictions.;Brand Guidelines
55;Prohibited Industries;You must not post Branded Content which promotes products or services from the following Prohibited Industries: Adult and sexual products and services, Alcohol, Animals, Cigarettes and tobacco products, Contraceptive products and services, Dating and live video applications or services, Drug-related products and services, Financial products or services or opportunities, Gambling, Pharmaceuticals, healthcare and medicine products, Political content, Products and services that enable dishonest behavior, Professional services, Weapons, ammunition, or explosives, Weight loss products or services, Counterfeit Products, Other prohibited products or services.;List of prohibited industries.;Brand Guidelines
56;Content Moderation;" ""To help ensure a safe, trustworthy, and vibrant experience, we maintain a set of Community Guidelines that include rules and standards for using TikTok. The guidelines apply to everyone and everything on our platform. They are informed by international legal frameworks, industry best practices, and input from our community, safety and public health experts, and our regional Advisory Councils.""";Guidelines Scope;Community Guidelines
57;Moderation Pillars;Our approach to content moderation is built on four pillars: 1. Remove violative content from the platform that breaks our rules 2. Age-restrict mature content so it is only viewed by adults (18 years and older) 3. Maintain For You feed (FYF) eligibility standards to help ensure any content that may be promoted by our recommendation system is appropriate for a broad audience 4. Empower our community with information, tools, and resources.;Content Moderation Strategy;Community Guidelines
58;Core Value;" ""If you are ever in doubt about what to share, keep in mind this core value — 'be kind and treat others the way that you would want to be treated.' Thanks for helping to keep TikTok a welcoming space for everyone!""";Core Principle;Community Guidelines
59;Safety Approach;Keeping our community both safe and vibrant requires finding the right balance between enabling expression and preventing harm. We do this through a mix of safety approaches, from developing rules and standards that we enforce, to building platform norms and resources that give our community members more agency and choice.;Safety and Expression;Community Guidelines
60;Violative Content Removal;Remove violative content. Everyone joins TikTok with the ability to freely share content on our platform. However, we have rules regarding harmful content that we do not allow. We seek to remove any content, whether publicly posted or private, that violates our rules. Although we work hard to enforce our rules, we cannot guarantee that all content shared on TikTok complies with our Terms of Service or Community Guidelines.;Content Removal;Community Guidelines
61;Age-Restriction;Age-restrict mature content. The breadth of content that is shared on TikTok is vast, which adds to the rich diversity of the experience. However, not all of it may be suitable for younger audiences. We limit overtly mature content so it is only viewed by adults 18 years and older.;Age Restriction Policy;Community Guidelines
62;For You Feed Standards;Maintain For You feed (FYF) eligibility standards. The FYF offers an opportunity for viewers to discover new content and for creators to reach new audiences. But promotion by our recommendation system is not guaranteed. Content that is not appropriate for a broad audience will be ineligible for the FYF.;FYF Standards;Community Guidelines
63;Community Empowerment;Empower our community. We want to make sure you have the right information to help you manage your experience on TikTok. For certain content, we add labels, 'opt-in' screens, or warnings to provide more context or notice.;Community Tools;Community Guidelines
64;Commercial Terms Overview;1.1 These TikTok For Business Commercial Terms of Service (these “**Commercial Terms**”) govern your use of TikTok’s products and/or services, in connection with your TikTok For Business, TikTok Ads Manager or TikTok Business Center accounts (“**Commercial Products**”). Commercial Products also include any other TikTok products and/or services, where you accept these Commercial Terms as a condition of access or use. These Commercial Terms form a legally binding contract between you and TikTok.;These terms govern your use of TikTok commercial products and form a legal contract.;Commercial Terms
65;Definitions of Parties;"1.2 For purposes of these Commercial Terms only, and unless otherwise specified:

 “**TikTok**”, “**we**”, and “**us**” means either: 

● TikTok Inc. (US), if you are based in North America;

● TikTok Information Technologies UK Limited (UK), if you are based in the United Kingdom

● TikTok Technology Limited (Ireland), if you are based in the EEA or Switzerland; or

● TikTok Pte. Ltd. (Singapore), if you are based in any other geographic area.

“**You**” or “**your**” means the entity or individual using the Commercial Products for its business or commercial purposes.";Defines entities involved based on location.;Commercial Terms
66;Acceptance by Use;1.3 Your use of the Commercial Products will constitute acceptance of these Commercial Terms.;Using the products means acceptance of terms.;Commercial Terms
67;Authority Requirement;1.4 You must not use the Commercial Products unless you have full power and authority to enter into, and perform the obligations under, these Commercial Terms.;Must have authority to use products.;Commercial Terms
68;Age Requirement;1.5 You may use the Commercial Products only if you have reached the age of majority in your jurisdiction and can enter into a binding contract with us.;Must be of age to use products.;Commercial Terms
69;Entity Representation Warranty;1.6 If you are acting on behalf of a legal entity, you represent and warrant that the legal entity is an entity validly existing and in good standing under the laws of its jurisdiction of incorporation or organization.;Ensure entity's validity and compliance.;Commercial Terms
70;Legal Exemptions;1.7 If you are legally exempt from certain responsibilities, then those responsibilities may not apply to you under these Commercial Terms. For example, the United Nations enjoys certain immunities from legal obligations and as such, these Commercial Terms would not override those immunities.;Exempt parties have immunity from responsibilities.;Commercial Terms
71;Interpretation of Examples;1.8 In these Commercial Terms, any phrase introduced by the terms “**including**”, “**include**”, “**in particular**”, “**for example**” or any similar expression is intended to be illustrative and not limit the words preceding those terms.;Examples are illustrative, not limiting.;Commercial Terms
72;Arbitration Agreement;1.9 IF YOU ARE BASED IN THE UNITED STATES, THESE COMMERCIAL TERMS CONTAIN A MUTUAL ARBITRATION AGREEMENT AND WAIVER OF RIGHTS TO BRING A CLASS ACTION. EXCEPT FOR CERTAIN TYPES OF DISPUTES MENTIONED IN THAT ARBITRATION AGREEMENT, YOU AND TIKTOK AGREE THAT DISPUTES INVOLVING THE COMMERCIAL PRODUCTS OR ARISING FROM THESE COMMERCIAL TERMS WILL BE RESOLVED BY MANDATORY BINDING ARBITRATION, AND YOU AND TIKTOK WAIVE ANY RIGHT TO PARTICIPATE IN A CLASS-ACTION LAWSUIT OR CLASS-WIDE ARBITRATION.;"Disputes resolved by arbitration; class-action waiver.";Commercial Terms
73;Supplemental Terms for Commercial Products;"2 Supplemental Terms

2.1 Certain Commercial Products or features of Commercial Products are governed by additional terms, guidelines, rules or policies (“**Supplemental Terms**”). Supplemental Terms include the linked terms set out below, along with any Supplemental Terms that TikTok incorporates by reference elsewhere in these Commercial Terms or makes available to you when using a particular Commercial Product or feature of a Commercial Product.

(a) If you use Commercial Products to access or purchase advertising inventory or advertising-related services, you agree to the [Advertising Terms](https://ads.tiktok.com/i18n/official/article?aid=10004639) and [Advertising Policies](https://ads.tiktok.com/help/article?aid=10000962).

(b) If you use Commercial Products to promote and sell goods and services in the United States, you agree to the US [Seller Terms of Service](https://seller-us.tiktok.com/university/article/agreement?knowledge_id=10013296&identity=1).

(c) If you are a brand that uses the TikTok Creator Marketplace to collaborate with others in the United States or Canada, you agree to the [TTCM Brand Terms.](https://creatormarketplace.tiktok.com/protocol/terms/US)

(d) If you use Commercial Products to share content or interact with TikTok or others, you agree to the [Community Guidelines](https://www.tiktok.com/community-guidelines?lang=en) and the [Branded Content Policy](https://support.tiktok.com/en/business-and-creator/creator-and-business-accounts/branded-content-policy). 

(e) If payment is required with respect to your use of the Commercial Products, you agree to the [Ad Services Payment Terms](https://ads.tiktok.com/i18n/official/article?aid=10004640).

(f) If you send us, or enable us to collect, Business Products Data (as defined in the [Business Products (Data) Terms)](https://ads.tiktok.com/i18n/official/policy/business-products-terms), you agree to the [Business Products (Data) Terms](https://ads.tiktok.com/i18n/official/policy/business-products-terms).

(g) If you use TikTok's Custom Audiences (Customer File) Product, you agree to the [Custom Audience (Customer File) Terms](https://ads.tiktok.com/i18n/official/policy/custom-audience-terms).

(h) If you use TikTok's Lead Generation or Lead Generation Tools and Services, (as defined in the [Lead Generation Terms](https://ads.tiktok.com/i18n/official/policy/lead-gen-terms)) you agree to the [Lead Generation Terms](https://ads.tiktok.com/i18n/official/policy/lead-gen-terms).

(i) If you authorize your third-party measurement partner(s) to send you TikTok European Data (as defined in the TikTok Controller to Controller Data Terms), you agree to the [Controller to Controller Data Terms](https://ads.tiktok.com/i18n/official/policy/controller-to-controller). 

(j) If you are granted rights to use trademarks, trade and product names, logos, icons, symbols or designs owned or used by TikTok, you agree to the [Brand and Use Guidelines](https://tiktokbrandbook.com/d/HhXfjVK1Poj9/legal).

(k) If you use music from the Commercial Music Library (via the Creative Center or otherwise) to make organic content or ads, you agree to the [Commercial Music Library - User Terms](https://www.tiktok.com/legal/page/global/commercial-music-library-user-terms/en).

(l) If you are an Australian small business (as defined in Section 23 of the Australian Consumer Law (Schedule 2 to the Competition and Consumer Act 2010 (Cth)), you agree to the [Australian Small Business Terms](https://ads.tiktok.com/i18n/official/article?aid=10020681).

(m) If you use Commercial Products to access generative AI features and tools, you agree to the [Creative GenAI Terms](https://ads.tiktok.com/i18n/official/article?aid=10021580).

(n) If you use the developer tools made available via TikTok API For Business interfaces, you agree to the [TikTok For Business Developer Terms](https://ads.tiktok.com/i18n/official/article?aid=10022349).";Additional terms apply based on the specific use of TikTok's commercial products and services.;Commercial Terms
74;Supplemental Terms Priority;2.2 References to “these Commercial Terms” will be deemed to include any applicable Supplemental Terms. To the extent any specific provision of the Supplemental Terms conflicts with these Commercial Terms, the specific provision of the applicable Supplemental Terms will prevail.;Supplemental Terms override conflicts.;Commercial Terms
75;Partner Privacy Policy;2.3 Please read the [TikTok Partner Privacy Policy](https://www.tiktok.com/legal/page/global/partner-privacy-policy/en) to find out how TikTok uses personal data about you that you share with TikTok or that TikTok collects or receives when you use the Commercial Products.;Learn how TikTok handles personal data.;Commercial Terms
76;Specific Service Terms;"3 Excluded Products and Services

3.1 Your use of certain TikTok products and services will fall outside of the scope of these Commercial Terms where TikTok has made available separate terms. For example:

(a) Use of the TikTok mobile app, the TikTok website, and any products and/or services accessed through your TikTok app account is governed by the [Terms of Service](https://www.tiktok.com/legal/terms-of-service?lang=en); 

(b) Use of the TikTok Creator Marketplace outside of the United States and Canada is governed by the [Brand Terms](https://creatormarketplace.tiktok.com/protocol#/terms/CA) applicable to your location;

(c) Use of the Promote feature within the TikTok mobile app to help you get more people to discover your content is governed by the various TikTok Promote terms and policies which apply in your local market; and

(d) Use of TikTok Shop to promote and sell goods and services outside of the United States, depending on where you reside and sell your goods and services, is subject to the following TikTok Shop Seller Terms of Service: [](https://seller.tiktokglobalshop.com/university/essay?role=1&knowledge_id=1402285897320194&from=other&article_type=agreement&identity=1)[TikTok Shop Seller Terms of Service (Cross-Border)](https://seller.tiktokglobalshop.com/university/essay?role=1&knowledge_id=1402285897320194&from=other&article_type=agreement&identity=1), [](https://seller-sg.tiktok.com/university/essay?knowledge_id=2526777789482753&article_type=agreement&identity=1)[TikTok Shop Seller Terms of Service (Southeast Asia)](https://seller-sg.tiktok.com/university/essay?knowledge_id=2526777789482753&article_type=agreement&identity=1),[Shop Seller Terms of Service (Indonesia)](https://seller-id.tokopedia.com/university/essay?role=1&knowledge_id=5833735817053953&from=other&article_type=agreement&identity=1), and [](https://seller-uk.tiktok.com/university/essay?knowledge_id=2341038300399392&article_type=agreement&identity=1)[TikTok Shop Seller Terms of Service (UK)](https://seller-uk.tiktok.com/university/essay?knowledge_id=2341038300399392&article_type=agreement&identity=1), as applicable";Different services have separate terms outside these Commercial Terms.;Commercial Terms
77;Commercial Account Setup;"4 Your Commercial Account with Us

4.1 You may need to create one or more accounts with TikTok to access or use certain Commercial Products (each a “**Commercial Account**”). You will ensure that any information you provide to TikTok in connection with your Commercial Account is (and is kept) accurate, up-to-date and complete.";Maintain accurate account information.;Commercial Terms
78;Account Security Obligations;4.2 You agree to keep any usernames or passwords for your Commercial Account confidential and secure, and not disclose them to any unauthorized person. If you know of, or suspect, any unauthorized access or use of your Commercial Account, you must notify TikTok immediately at: [https://www.tiktok.com/legal/report/feedback](https://www.tiktok.com/legal/report/feedback). You must not use or attempt to use another person’s Commercial Account without their authorization.;Users must secure their account and report unauthorized access.;Commercial Terms
79;Commercial Account Access;4.3 TikTok may offer Commercial Products which enable you, as a holder of a Commercial Account (“**Account Holder**”), to permit other persons or accounts to access, use or manage your Commercial Account, or assets, data, content or features within or available through your Commercial Account, (“**Permitted Users**”). For example, a media agency may wish to grant certain access rights and permissions to an advertiser. If you permit such access, you agree that TikTok may share access to your Commercial Account and assets, data, content or features within or available through it, as authorized by you.;Grants rights to permit user access and data sharing.;Commercial Terms
80;User Responsibility;4.4 You are solely responsible for any activity that occurs in connection with your Commercial Account, including any activity of your Permitted Users, and any decisions you make to grant or revoke access rights to Permitted Users. TikTok shall not be liable for acts or omissions of your Permitted Users, their products or services, or how they use the permissions you have granted them. If you share or authorize the sharing of data with a Permitted User, you shall ensure that the Permitted User keeps such data confidential and secure, and that the data sharing complies with applicable laws, including by having contractual terms in place with Permitted Users to cover the data sharing between you, if the law requires this.;Account holder is responsible for user actions and data security.;Commercial Terms
81;Secure Access Responsibilities;"4.5 If you are a Permitted User, you agree: (a) to access and use the Commercial Account of the Account Holder, and any assets, data, content or features made available through such Commercial Accounts, in a secure and confidential manner and solely for the purposes for which the Account Holder has granted you access, and in accordance with any permissions, terms or instructions from the Account Holder; (b) to keep all authorization tokens or credentials confidential and secure, and (c) not to share, or permit authorization tokens or credentials, to be shared with any third party. If your authorization expires or is revoked, you will immediately cease to access the Account Holder’s Commercial Account, and delete all assets, content or data received through such Commercial Accounts, unless expressly agreed otherwise with the Account Holder.";Permitted users must access commercial accounts securely and confidentially.;Commercial Terms
82;Compliance and Legal Use;"5 Your Access to and Use of Commercial Products

5.1 You represent and warrant that your, and any of your Permitted Users’, activities in connection with these Commercial Terms, or access or use of the Commercial Products complies with all applicable laws, regulations and industry codes of practice, and does not infringe on the rights of any third parties. You and your Permitted Users may not access or use the Commercial Products from jurisdictions where the receipt, contents or practices of the Commercial Products are illegal or prohibited.";Users must follow laws and avoid prohibited jurisdictions.;Commercial Terms
